Species;Strategy;Year;Population;Seed_viability
S. parviflora;Shelter;2021;Son Veri;0.271461717
S. parviflora;Shelter;2021;Son Veri;0.333050847
S. parviflora;Shelter;2021;Son Veri;0.339694656
S. parviflora;Shelter;2021;Son Veri;0.411231884
S. parviflora;Shelter;2021;Son Veri;0.523636364
S. parviflora;Shelter;2021;Son Veri;0.550964187
S. parviflora;Shelter;2021;Son Veri;0.650519031
S. parviflora;Shelter;2021;Son Veri;0.680172414
S. parviflora;Shelter;2021;Son Veri;0.74278438
S. parviflora;Shelter;2021;Son Veri;0.836909871
S. parviflora;Shelter;2021;Son Veri;0.869333333
S. parviflora;Shelter;2021;Son Veri;0.87826087
S. parviflora;Shelter;2021;Son Veri;0.906862745
S. parviflora;Shelter;2021;Son Veri;0.934977578
S. parviflora;Shelter;2021;Son Veri;0.964412811
S. parviflora;Shelter;2021;Son Veri;0.980906921
S. parviflora;Shelter;2021;Son Veri;0.986394558
S. parviflora;Shelter;2021;UIB;0.207746479
S. parviflora;Shelter;2021;UIB;0.37745098
S. parviflora;Shelter;2021;UIB;0.519274376
S. parviflora;Shelter;2021;UIB;0.661691542
S. parviflora;Shelter;2021;UIB;0.706401766
S. parviflora;Shelter;2021;UIB;0.716748768
S. parviflora;Shelter;2021;UIB;0.746551724
S. parviflora;Shelter;2021;UIB;0.79558011
S. parviflora;Shelter;2021;UIB;0.819327731
S. parviflora;Shelter;2021;UIB;0.836614173
S. parviflora;Shelter;2021;UIB;0.859223301
S. parviflora;Shelter;2021;UIB;0.860465116
S. parviflora;Shelter;2021;UIB;0.863340564
S. parviflora;Shelter;2021;UIB;0.894409938
S. parviflora;Shelter;2021;UIB;0.905128205
S. parviflora;Shelter;2021;UIB;0.913385827
S. parviflora;Shelter;2021;UIB;0.922807018
S. parviflora;Shelter;2021;UIB;0.924944812
S. parviflora;Shelter;2021;UIB;0.930041152
S. parviflora;Shelter;2021;UIB;0.930555556
S. parviflora;Shelter;2021;UIB;0.950920245
S. parviflora;Shelter;2021;UIB;0.967248908
S. parviflora;Shelter;2021;UIB;0.992471769
S. parviflora;Shelter;2021;UIB;1
